Entity,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression,Alcohol use disorders (%)
Guinea,GIN,2017,0.166392762,0.629857427,0.112388231,2.901304287,0.456326291,3.560932911,0.946132979
Sub-Saharan Africa,,2017,0.169482537,0.629671507,0.134089569,3.307850193,0.535481492,3.77613174,1.309799199
Togo,TGO,2017,0.164575407,0.629456809,0.108107372,2.910944851,0.488984387,3.656724668,0.965300083
Mali,MLI,2017,0.167750885,0.62879829,0.116674521,2.888671597,0.44588808,3.007420019,0.904050384
Cameroon,CMR,2017,0.170795519,0.628202387,0.133790102,2.908662652,0.588020694,3.745646542,1.024226612
Ethiopia,ETH,2017,0.164823053,0.627391281,0.109816929,3.731997168,0.498949273,3.816265969,1.863893416
Chad,TCD,2017,0.16801937,0.626774721,0.122128894,2.88704925,0.457399959,3.874837439,0.943401227
Tanzania,TZA,2017,0.1652154,0.626014209,0.129856671,3.636165086,0.518625021,3.68574814,1.550497138
South Sudan,SSD,2017,0.168801216,0.625867462,0.134608136,3.553077372,0.502397863,3.699147429,1.548224958
Rwanda,RWA,2017,0.16368825,0.625709944,0.115817095,3.702435499,0.570294213,3.869449628,2.342693906
Sierra Leone,SLE,2017,0.165455342,0.624755581,0.109798764,2.880724531,0.496263044,3.581501348,0.936624414
Eastern Sub-Saharan Africa,,2017,0.163458941,0.623964919,0.11603346,3.645706069,0.510433067,3.824304901,1.61255427
Angola,AGO,2017,0.172793804,0.623903582,0.173642511,3.296906303,0.519555779,4.160484197,1.378244117
Equatorial Guinea,GNQ,2017,0.185333606,0.623349904,0.277336568,3.278990593,0.563293149,4.167089986,1.480768642
Democratic Republic of Congo,COD,2017,0.156882785,0.622140919,0.092541978,3.25156993,0.517093641,3.956871764,1.341112729
Burkina Faso,BFA,2017,0.164744559,0.622073535,0.113354225,2.900238994,0.444063303,3.694253592,1.001796072
Central Sub-Saharan Africa,,2017,0.161344424,0.621204356,0.117587838,3.263217423,0.521060886,4.017924656,1.360874631
Cote d'Ivoire,CIV,2017,0.170171182,0.620476935,0.136217032,2.879312053,0.503956745,3.337988904,1.009973842
Somalia,SOM,2017,0.153911905,0.620442197,0.079896098,3.568698397,0.497894413,3.784748218,1.538570576
Eritrea,ERI,2017,0.158711074,0.617568777,0.10250252,3.66566808,0.52482066,3.867376703,1.732617354
Guinea-Bissau,GNB,2017,0.163117115,0.614791356,0.110998627,2.915176813,0.482693171,3.665430394,0.979754058
Congo,COG,2017,0.169760115,0.614345498,0.161674795,3.270744943,0.56030569,4.008290792,1.448790478
Burundi,BDI,2017,0.154394081,0.613041852,0.090802341,3.585760098,0.500084321,3.721227706,1.569309325
Low-middle SDI,,2017,0.229452086,0.612316272,0.161039172,3.645971447,0.727075546,3.631610334,1.273662198
Zimbabwe,ZWE,2017,0.157963236,0.61124239,0.124443427,3.1109256,0.772648271,3.192789119,1.510943466
Mozambique,MOZ,2017,0.156176373,0.611099452,0.103227219,3.672136391,0.528698797,3.901795226,1.708855541
Uganda,UGA,2017,0.160207616,0.610420456,0.119309487,3.526626139,0.542831835,4.918028157,1.295985777
Swaziland,SWZ,2017,0.172883474,0.608545449,0.189603546,3.484456287,0.781634852,4.067654361,1.704300959
Lesotho,LSO,2017,0.161376284,0.606321245,0.13680087,3.481456059,0.768874765,5.636660704,1.654872374
Malawi,MWI,2017,0.154532583,0.606166317,0.100349372,3.660937095,0.509184014,3.446137021,1.604984325
Zambia,ZMB,2017,0.165866192,0.605971962,0.142767576,3.599713942,0.51597175,3.641811163,1.633242708
World,OWID_WRL,2017,0.254055151,0.598082516,0.211304287,3.764810528,0.941627546,3.44108734,1.396496517
Bhutan,BTN,2017,0.26763721,0.595887022,0.172339625,3.80143152,0.534974458,3.439333738,2.374372881
Greenland,GRL,2017,0.322250024,0.595420875,0.539068508,5.722163064,1.994755059,6.233634886,3.086687777
Low SDI,,2017,0.210761891,0.59437395,0.12207133,3.540415369,0.581596399,3.61699923,1.265127852
Central African Republic,CAF,2017,0.149087097,0.593029712,0.089183205,3.249990166,0.516703025,4.211728229,1.407711999
Nepal,NPL,2017,0.246394001,0.584926503,0.128494755,3.879454605,0.501677946,3.606938526,1.527133069
Bangladesh,BGD,2017,0.252599548,0.583419096,0.137974267,4.283988502,0.512800136,4.11061131,1.46219797
High-middle SDI,,2017,0.275017021,0.580783145,0.225376661,3.785156798,1.140474297,3.568498257,1.805940437
Malaysia,MYS,2017,0.252984361,0.579224016,0.201461544,4.340782526,0.673643628,3.520853917,0.64496931
Pakistan,PAK,2017,0.256441677,0.574045575,0.154582741,3.823379209,0.656776334,3.331279643,1.532772747
South Korea,KOR,2017,0.263993599,0.569459331,0.417103482,3.778004548,0.91431869,3.165683958,2.020050127
Sri Lanka,LKA,2017,0.238044781,0.569094676,0.159144309,3.369917096,0.665203405,3.443329816,0.95045256
Seychelles,SYC,2017,0.247689163,0.565984144,0.197452039,3.302670391,0.790406497,2.886513597,0.855464977
Maldives,MDV,2017,0.244707357,0.565133045,0.15721364,3.165131868,0.696757339,3.099969686,0.834550755
Mauritius,MUS,2017,0.2421848,0.564757216,0.184432748,3.322963457,0.71079035,3.478524341,1.303687888
South Asia,,2017,0.257193122,0.562156002,0.155250733,3.455893315,0.540558986,3.566448102,1.209074903
India,IND,2017,0.257864001,0.55711156,0.157758125,3.301938925,0.527410723,3.529852597,1.126606726
Vietnam,VNM,2017,0.244662787,0.552653321,0.128466466,2.066871058,0.693534364,2.879450065,1.739465895
Middle SDI,,2017,0.26010244,0.548530163,0.18448632,3.34245637,0.840858759,3.177826819,1.241515752
Thailand,THA,2017,0.234878535,0.543035028,0.17320197,3.329593879,0.846267711,3.085057004,0.91277529
Southeast Asia,,2017,0.231524458,0.541305483,0.145649754,3.16419462,0.643612602,2.807239416,0.917452711
Indonesia,IDN,2017,0.230297325,0.540591106,0.148781505,3.280219792,0.588078674,2.642735675,0.650505679
Philippines,PHL,2017,0.224422402,0.535512776,0.134855318,3.269720163,0.648897668,2.765176009,0.894194852
Laos,LAO,2017,0.216455451,0.533567665,0.128172294,4.224293772,0.659138941,2.912431366,0.918019231
